__timestamp,CHANNEL_NAME,SERVICES_PRODUCTCODE,SUM(COMTRAN_COMMISSIONREVENUE)
2018-11-15 00:00:00+00:00,SMS,ALO29,0
2018-11-15 00:00:00+00:00,SMS,MI_MAXSV2,0
2018-11-15 00:00:00+00:00,WEB,LUA,0
2018-11-15 00:00:00+00:00,SMS,TINNONGTUAN,0
2018-11-15 00:00:00+00:00,SMS,TONGHOP,0
2018-11-15 00:00:00+00:00,SMS,TUAN,0
2018-11-15 00:00:00+00:00,WEB,THONGTINTONGHOPTUAN,0
2018-11-15 00:00:00+00:00,SMS,LUA,0
2018-11-15 00:00:00+00:00,WEB,TRANCAUVANG,0
2018-11-15 00:00:00+00:00,SMS,VINABOX,0
2018-11-15 00:00:00+00:00,WEB,CHUYENCUASAO,0
2018-11-15 00:00:00+00:00,WEB,DIEMTINYTE,0
2018-11-15 00:00:00+00:00,WEB,MN,10
2018-11-15 00:00:00+00:00,WEB,MT,10
2018-11-15 00:00:00+00:00,SMS,MN,20
2018-11-15 00:00:00+00:00,SMS,MT,20
2018-11-15 00:00:00+00:00,SMS,MB,20
2018-11-15 00:00:00+00:00,WEB,TONGHOP,80
2018-11-15 00:00:00+00:00,WEB,GIAIMATRANDAU,1120
2018-11-15 00:00:00+00:00,SMS,V10K,2500
2018-11-15 00:00:00+00:00,WEB,V10K,2500
2018-11-15 00:00:00+00:00,WEB,MB,2590
2018-11-15 00:00:00+00:00,WEB,B10,2750
2018-11-15 00:00:00+00:00,SMS,MI_VD2K,2800
2018-11-15 00:00:00+00:00,SMS,VD30,6000
2018-11-15 00:00:00+00:00,SMS,B10,6125
2018-11-15 00:00:00+00:00,WEB,MI_MAXSV2,7000
2018-11-15 00:00:00+00:00,SMS,VD2,7100
2018-11-15 00:00:00+00:00,API,MI_D2,7500
2018-11-15 00:00:00+00:00,API,B30,9000
2018-11-15 00:00:00+00:00,WEB,VD30,12000
2018-11-15 00:00:00+00:00,SMS,EZ_EZ50,12500
2018-11-15 00:00:00+00:00,SMS,BXTRA,14000
2018-11-15 00:00:00+00:00,SMS,V30K,15000
2018-11-15 00:00:00+00:00,SMS,BT50P,15000
2018-11-15 00:00:00+00:00,API,VD89,15130
2018-11-15 00:00:00+00:00,API,MI_SPEED79,15800
2018-11-15 00:00:00+00:00,WEB,VD89KM,17800
2018-11-15 00:00:00+00:00,API,MI_BIG90,18000
2018-11-15 00:00:00+00:00,WEB,C50,19250
2018-11-15 00:00:00+00:00,SMS,VD99PLUS,19800
2018-11-15 00:00:00+00:00,WEB,KM_DT20,20000
2018-11-15 00:00:00+00:00,WEB,VD100,20000
2018-11-15 00:00:00+00:00,WEB,VD69,24150
2018-11-15 00:00:00+00:00,SMS,MI_D99_2GBN,24750
2018-11-15 00:00:00+00:00,API,MI_MAX100,25000
2018-11-15 00:00:00+00:00,SMS,VD50,25000
2018-11-15 00:00:00+00:00,WEB,S50,29750
2018-11-15 00:00:00+00:00,WEB,MI_MAX200,30000
2018-11-15 00:00:00+00:00,SMS,VD100,30000
2018-11-15 00:00:00+00:00,WEB,MI_MAXS,37500
2018-11-15 00:00:00+00:00,SMS,MI_SPEED199,39800
2018-11-15 00:00:00+00:00,SMS,EZ_MAX200,40000
2018-11-15 00:00:00+00:00,SMS,B100,40000
2018-11-15 00:00:00+00:00,SMS,RINGTUNES,40500
2018-11-15 00:00:00+00:00,API,MI_MAX,42000
2018-11-15 00:00:00+00:00,SMS,B30_6T,45000
2018-11-15 00:00:00+00:00,WEB,MI_M25,50000
2018-11-15 00:00:00+00:00,SMS,MI_DP89_2GBN,53400
2018-11-15 00:00:00+00:00,WEB,B129,58050
2018-11-15 00:00:00+00:00,SMS,B129,64500
2018-11-15 00:00:00+00:00,SMS,TN20,66300
2018-11-15 00:00:00+00:00,SMS,MI_MAX300,67500
2018-11-15 00:00:00+00:00,WEB,V10,69850
2018-11-15 00:00:00+00:00,SMS,BT50P_3T,72000
2018-11-15 00:00:00+00:00,WEB,B50SV_6T,75000
2018-11-15 00:00:00+00:00,SMS,VD10,81150
2018-11-15 00:00:00+00:00,WEB,B50SV,85000
2018-11-15 00:00:00+00:00,WEB,B30_12T,90000
2018-11-15 00:00:00+00:00,SMS,VD79,106650
2018-11-15 00:00:00+00:00,WEB,ALO35,106750
2018-11-15 00:00:00+00:00,WEB,VMAX,110700
2018-11-15 00:00:00+00:00,WEB,HT50,115000
2018-11-15 00:00:00+00:00,WEB,ALO29,116000
2018-11-15 00:00:00+00:00,WEB,MI_ZONE_12THAGA,120000
2018-11-15 00:00:00+00:00,WEB,MI_ZONE_6THAGA,120000
2018-11-15 00:00:00+00:00,SMS,VMAX,121500
2018-11-15 00:00:00+00:00,WEB,MI_M10,143000
2018-11-15 00:00:00+00:00,WEB,RINGTUNES,145350
2018-11-15 00:00:00+00:00,WEB,MI_MAX100_6M,150000
2018-11-15 00:00:00+00:00,SMS,B100K_6T,150000
2018-11-15 00:00:00+00:00,WEB,B50SV_12T,150000
2018-11-15 00:00:00+00:00,SMS,GV35,150500
2018-11-15 00:00:00+00:00,SMS,MI_BIG300,161250
2018-11-15 00:00:00+00:00,SMS,MCA_WEEKLY,164350
2018-11-15 00:00:00+00:00,SMS,MI_BIG200,175000
2018-11-15 00:00:00+00:00,WEB,MI_BIG120_6M,180000
2018-11-15 00:00:00+00:00,SMS,EZ_MAX100,180000
2018-11-15 00:00:00+00:00,WEB,B30,189000
2018-11-15 00:00:00+00:00,SMS,B129_6T,193500
2018-11-15 00:00:00+00:00,SMS,VD69_12T,207000
2018-11-15 00:00:00+00:00,SMS,MI_BIG70_12M,210000
2018-11-15 00:00:00+00:00,SMS,MI_BIG_60G_2GBN,210000
2018-11-15 00:00:00+00:00,WEB,C69_6T,241500
2018-11-15 00:00:00+00:00,SMS,MI_SPEED79,252800
2018-11-15 00:00:00+00:00,WEB,MI_D2,255000
2018-11-15 00:00:00+00:00,WEB,C89_12T,267000
2018-11-15 00:00:00+00:00,WEB,MI_BIG70_6M,280000
2018-11-15 00:00:00+00:00,SMS,BT50,280000
2018-11-15 00:00:00+00:00,SMS,MI_M70,283500
2018-11-15 00:00:00+00:00,SMS,B99_12T,297000
2018-11-15 00:00:00+00:00,WEB,MI_BIG_60G_2GBN,325000
2018-11-15 00:00:00+00:00,SMS,C50,330500
2018-11-15 00:00:00+00:00,SMS,MI_ZONE50,335000
2018-11-15 00:00:00+00:00,SMS,MI_MAX200,337500
2018-11-15 00:00:00+00:00,SMS,HT50,345000
2018-11-15 00:00:00+00:00,SMS,MI_MAX_12M,350000
2018-11-15 00:00:00+00:00,WEB,B129_6T,387000
2018-11-15 00:00:00+00:00,WEB,C89_6T,400500
2018-11-15 00:00:00+00:00,WEB,VD129,412800
2018-11-15 00:00:00+00:00,SMS,B99_6T,445500
2018-11-15 00:00:00+00:00,WEB,MI_MAX_6M,455000
2018-11-15 00:00:00+00:00,SMS,B50SV,480000
2018-11-15 00:00:00+00:00,WEB,MCA_WEEKLY,493700
2018-11-15 00:00:00+00:00,SMS,V10,499550
2018-11-15 00:00:00+00:00,WEB,VD129_12T,516000
2018-11-15 00:00:00+00:00,SMS,C69_6T,517500
2018-11-15 00:00:00+00:00,WEB,B99_6T,544500
2018-11-15 00:00:00+00:00,SMS,VD129_6T,580500
2018-11-15 00:00:00+00:00,WEB,B99_12T,594000
2018-11-15 00:00:00+00:00,WEB,MI_MAX100_12M,600000
2018-11-15 00:00:00+00:00,SMS,B50,612500
2018-11-15 00:00:00+00:00,SMS,C69_12T,621000
2018-11-15 00:00:00+00:00,WEB,MI_MAX_12M,630000
2018-11-15 00:00:00+00:00,WEB,B50,640000
2018-11-15 00:00:00+00:00,WEB,B99,693000
2018-11-15 00:00:00+00:00,SMS,MI_BIG120,738000
2018-11-15 00:00:00+00:00,WEB,VD89P,765400
2018-11-15 00:00:00+00:00,SMS,KM_DT20,915000
